timestamp,src_ip,src_port,dst_ip,dst_port,protocol,info
2026-09-25T06:30:01Z,10.10.20.15,51542,10.10.20.1,53,DNS,"Standard query A update-check.example"
2026-09-25T06:30:01Z,10.10.20.1,53,10.10.20.15,51542,DNS,"Response A 203.0.113.77"
2026-09-25T06:30:03Z,10.10.20.15,51544,203.0.113.77,80,TCP,"SYN"
2026-09-25T06:30:03Z,203.0.113.77,80,10.10.20.15,51544,TCP,"SYN ACK"
2026-09-25T06:30:04Z,10.10.20.15,51544,203.0.113.77,80,HTTP,"GET /checkin?id=wkstn15 HTTP/1.1"
2026-09-25T06:30:04Z,203.0.113.77,80,10.10.20.15,51544,HTTP,"HTTP/1.1 200 OK"
2026-09-25T06:31:04Z,10.10.20.15,51555,203.0.113.77,80,HTTP,"GET /checkin?id=wkstn15 HTTP/1.1"
2026-09-25T06:32:04Z,10.10.20.15,51563,203.0.113.77,80,HTTP,"GET /checkin?id=wkstn15 HTTP/1.1"
2026-09-25T06:33:04Z,10.10.20.15,51571,203.0.113.77,80,HTTP,"GET /checkin?id=wkstn15 HTTP/1.1"
2026-09-25T06:34:04Z,10.10.20.15,51580,203.0.113.77,80,HTTP,"GET /checkin?id=wkstn15 HTTP/1.1"
